Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",73.27,-0.38,-0.52%,72.76,73.28,72.41,1729600,01/28/19
AA,"Alcoa Corp",27.98,-1.04,-3.58%,28.74,28.83,27.81,3538000,01/28/19
AAC,"Aac Holdings Inc",2.22,-0.16,-6.72%,2.37,2.4,2.2,192000,01/28/19
AAL,"American Airlines Gp",36.57,1.59,+4.55%,34.53,36.62,34.5,14843399,01/28/19
AAN,"Aaron's Inc",49.59,-0.41,-0.82%,49.82,50,48.7,372200,01/28/19
AAOI,"Applied Optoelect",16.89,-0.56,-3.21%,17.09,17.49,16.71,587300,01/28/19
AAON,"Aaon Inc",35.6,-0.11,-0.31%,35.38,35.92,35.13,86100,01/28/19
AAP,"Advance Auto Parts Inc",154.86,1.64,+1.07%,151.65,155.05,150.05,1311500,01/28/19
AAPL,"Apple Inc",156.3,-1.46,-0.93%,155.79,156.33,153.66,26192000,01/28/19
AAT,"American Assets Trust",41.74,0.39,+0.94%,41.2,41.9,41.03,325200,01/28/19
AAWW,"Atlas Air Ww",51.29,-0.01,-0.02%,50.55,51.93,50.5,178900,01/28/19
AAXN,"Axon Inc",49.1,0,0.00%,48.79,49.39,48.35,290300,01/28/19
ABBV,"Abbvie Inc",77.14,-3.4,-4.22%,80,80.1,76.68,14718699,01/28/19
ABC,"Amerisourcebergen Corp",80.12,0.46,+0.58%,79.47,80.31,78.88,838700,01/28/19
ABCB,"Ameris Bancorp",37.61,1.1,+3.01%,35.85,37.88,35.85,641900,01/28/19
ABEO,"Abeona Therapeutics",6.94,-0.1,-1.42%,6.9,7.03,6.7,235100,01/28/19
ABG,"Asbury Automotive Group Inc",69.56,-0.32,-0.46%,68.76,70.58,68.63,101600,01/28/19
ABM,"ABM Industries Incorporated",33.86,-0.15,-0.44%,33.67,33.86,33.15,636800,01/28/19
ABMD,"Abiomed Inc",336.9,-12.47,-3.57%,348.9,349.99,333.76,388700,01/28/19
ABR,"Arbor Realty Trust",11.56,0.09,+0.78%,11.47,11.57,11.43,613900,01/28/19
ABT,"Abbott Laboratories",69.05,-2.1,-2.95%,70.52,70.63,68.89,5942500,01/28/19
ABTX,"Allegiance Banc CS",36.25,0.72,+2.03%,35.13,36.38,35.13,138200,01/28/19
ABUS,"Arbutus Biopharma Cp",3.61,-0.35,-8.84%,3.89,3.89,3.56,208200,01/28/19
AC,"Associated Capital Group Inc",40.95,0.6,+1.49%,40.1,40.95,39.71,4600,01/28/19
ACA,"Arcosa Inc.",28.53,-0.82,-2.79%,28.98,29.07,28.37,284500,01/28/19
ACAD,"Acadia Pharmaceutica",22.1,-0.51,-2.26%,22.21,22.5,21.68,1867800,01/28/19
ACBI,"Atlantic Capital",18.33,-0.1,-0.54%,18.4,18.5,18.23,83100,01/28/19
ACC,"American Campus Communities Inc",45.24,0.57,+1.28%,44.7,45.31,44.54,1102500,01/28/19
ACCO,"Acco Brands Corp",8.79,-0.04,-0.45%,8.74,8.89,8.66,322400,01/28/19
ACGL,"Arch Capital Grp Ltd",28.74,-0.09,-0.31%,28.73,28.85,28.6,828900,01/28/19
ACHC,"Acadia Healthcr CO",27.49,-0.07,-0.25%,27.49,28.48,27.06,876700,01/28/19
ACHN,"Achillion Pharmaceut",2.22,-0.06,-2.63%,2.26,2.26,2.14,1655100,01/28/19
ACIA,"Acacia Communica",43.32,-0.73,-1.66%,43.13,44.01,42.75,263900,01/28/19
ACIW,"Aci Worldwide Inc",28.82,-0.41,-1.40%,28.87,29.1,28.71,651900,01/28/19
ACLS,"Axcelis Tech Inc",20.77,0.72,+3.59%,19.8,21.2,19.8,365600,01/28/19
ACM,"Aecom Technology Corp",30.2,-0.35,-1.15%,30.21,30.68,30.18,917100,01/28/19
ACMR,"Acm Research Inc",9.72,-0.3,-2.99%,9.77,10.04,9.6,17900,01/28/19
ACN,"Accenture Plc",152.24,0.39,+0.26%,150.72,152.24,150.2,2046500,01/28/19
ACNB,"Acnb Corp",36.6,-0.28,-0.76%,36.91,37.44,36.43,11400,01/28/19
ACOR,"Acorda Therapeutics",15.4,-0.55,-3.45%,15.68,15.88,15.16,609800,01/28/19
ACRE,"Ares Commercial Real Estate Cor",14.16,-0.01,-0.07%,14.14,14.22,14.07,138500,01/28/19
ACRS,"Aclaris Therapts",6.73,0.03,+0.45%,6.69,6.83,6.55,490700,01/28/19
ACTG,"Acacia Res-Acacia",3.07,0.02,+0.66%,3.05,3.08,3,155000,01/28/19
ADBE,"Adobe Systems Inc",241.85,-3.1,-1.27%,241,243.22,239.35,2110400,01/28/19
ADC,"Agree Realty Corp",63.62,0.72,+1.14%,62.76,63.8,62.69,233200,01/28/19
ADI,"Analog Devices",97.34,-0.33,-0.34%,94.95,97.7,94.86,2260100,01/28/19
ADM,"Archer Daniels Midland Company",44.17,0.45,+1.03%,43.6,44.18,43.42,2281200,01/28/19
ADMA,"Adma Biologics",3.13,-0.09,-2.80%,3.21,3.37,3.11,446600,01/28/19
ADMS,"Adamas Pharma",8.53,-0.25,-2.85%,8.65,8.65,8.26,274200,01/28/19
ADNT,"Adient Plc",19.24,-0.36,-1.84%,19.11,19.68,18.83,2728500,01/28/19
ADP,"Automatic Data Procs",135.5,-0.91,-0.67%,134.96,135.73,134.29,1930600,01/28/19
ADRO,"Aduro Biotech",2.42,-0.22,-8.33%,2.62,2.64,2.37,633700,01/28/19
ADS,"Alliance Data Systems Corp",178.76,1.05,+0.59%,175.7,179.51,175.46,620300,01/28/19
ADSK,"Autodesk Inc",140.77,-1.31,-0.92%,140.65,141.09,138.74,1314600,01/28/19
ADSW,"Advanced Disposal Services Inc",24.58,-0.3,-1.21%,24.64,24.78,24.28,233900,01/28/19
ADT,"ADT Inc",7.03,-0.16,-2.23%,7.17,7.17,6.97,1816200,01/28/19
ADTN,"Adtran Inc",14.69,0.65,+4.63%,13.93,14.7,13.84,614700,01/28/19
ADUS,"Addus Homecare Corpo",58.98,-3.43,-5.50%,61.42,61.9,58.84,139200,01/28/19
ADVM,"Adverum Biotechnlgs",3.11,-0.1,-3.12%,3.19,3.19,3.08,128500,01/28/19
AE,"Adams Resources & Energy",40.91,-0.90000000000001,-2.15%,41.4,41.66,40.31,3000,01/28/19
AEE,"Ameren Corp",67.66,-0.28,-0.41%,68.02,68.3,67.28,943600,01/28/19
AEGN,"Aegion Corp",18.05,-0.32,-1.74%,18.25,18.32,17.93,109700,01/28/19
AEIS,"Advanced Energy",51,0,0.00%,49.64,51.94,47.66,279000,01/28/19
AEL,"American Equity Investment Life",30.94,-0.13,-0.42%,30.7,31.22,30.6,322600,01/28/19
AEO,"American Eagle Outfitters",21.07,-0.03,-0.14%,20.92,21.23,20.82,2886600,01/28/19
AEP,"American Electric Power Company",76.85,0.05,+0.07%,76.76,77.21,76.3,2159100,01/28/19
AERI,"Aerie Pharmaceutical",45.61,-0.13,-0.28%,45.55,46.23,45,692200,01/28/19
AES,"The Aes Corp",15.87,-0.01,-0.06%,15.83,15.96,15.74,4603500,01/28/19
AFG,"American Financial Group",94.57,-0.18,-0.19%,94.02,94.91,93.3,301000,01/28/19
AFI,"Armstrong Flooring Inc",13.17,-0.09,-0.68%,13.15,13.4,13.06,69600,01/28/19
AFL,"Aflac Incorporated",47.35,-0.22,-0.46%,47.4,47.53,47.01,3255700,01/28/19
AGCO,"Agco Corp",62.02,-1.11,-1.76%,61.68,62.69,61.27,510500,01/28/19
AGE,"Agex Therapeutics Inc",3.71,-0.45,-10.82%,4.1,4.1,3.7,119500,01/28/19
AGEN,"Agenus Inc",3.39,-0.11,-3.14%,3.5,3.5,3.35,1299100,01/28/19
AGFS,"Agrofresh Solutions",3.86,-0.09,-2.28%,3.9,3.95,3.83,31400,01/28/19
AGIO,"Agios Pharmaceutical",50.5,-1.72,-3.29%,51.63,51.88,50.06,394900,01/28/19
AGLE,"Aeglea Biothera",8.51,-0.05,-0.58%,8.46,8.75,8.32,46300,01/28/19
AGM,"Federal Agricultural Mortgage Corp",71.91,0.96,+1.35%,70.21,72.07,69.94,30500,01/28/19
AGN,"Allergan Plc",158.69,-1.97,-1.23%,159.14,159.47,156,3697600,01/28/19
AGNC,"American Capital Age",18.06,-0.06,-0.33%,18.12,18.15,18.01,4855800,01/28/19
AGO,"Assured Guaranty Ltd",40.5,0.26,+0.65%,40.03,40.51,39.81,418400,01/28/19
AGR,"Avangrid Inc",48.54,-0.61,-1.24%,49.09,49.35,48.42,298200,01/28/19
AGS,"Playags Inc",25.59,-0.03,-0.12%,25.36,26.04,25,77200,01/28/19
AGX,"Argan Inc",43.05,0.72,+1.70%,42.11,43.35,42.11,161100,01/28/19
AGYS,"Agilysys Inc",17.88,1.46,+8.89%,16.43,18.66,16.07,297400,01/28/19
AHH,"Armada Hoffler Properties Inc",14.62,0.11,+0.76%,14.42,14.7,14.38,229100,01/28/19
AHL,"Aspen Insurance Holdings",41.87,0.01,+0.02%,41.85,41.97,41.79,564400,01/28/19
AHT,"Ashford Hospitality Trust Inc",4.74,0.03,+0.64%,4.71,4.77,4.67,269500,01/28/19
AI,"Arlington Asset Investment Corp",8.45,0.11,+1.32%,8.3,8.48,8.3,227200,01/28/19
AIG,"American International Group",42.82,-0.36,-0.83%,43,43.07,42.27,4146700,01/28/19
AIMC,"Altra Indtl Mtn",28.86,-0.5,-1.70%,29,29.24,28.23,419200,01/28/19
AIMT,"Aimmune Therap",22.24,-0.69,-3.01%,22.91,23,22.08,466400,01/28/19
AIN,"Albany International Corp",66.47,-1.6,-2.35%,67.23,68.08,65.87,84300,01/28/19
AINC,"Ashford Inc",58.7,2.3,+4.08%,56.03,58.7,56.03,4900,01/28/19
AIR,"AAR Corp",36.87,-0.34,-0.91%,36.84,37.27,36.53,123400,01/28/19
AIT,"Applied Industrial Technologies",58.78,-0.01,-0.02%,58.15,59.31,58.14,276200,01/28/19
AIV,"Apartment Investment and Management",48.7,0.66,+1.37%,48,48.78,47.9,1483900,01/28/19
AIZ,"Assurant Inc",94.45,-0.79,-0.83%,94.47,94.89,93.51,536000,01/28/19
AJG,"Arthur J. Gallagher & CO",72.98,-0.52,-0.71%,73.12,74,72.4,815000,01/28/19
AJRD,"Aerojet Rocketdyne Holdings",38.93,-0.11,-0.28%,38.56,39.57,38.36,648800,01/28/19
AJX,"Great Ajax Corp",12.85,-0.06,-0.46%,12.82,12.97,12.77,32600,01/28/19
AKAM,"Akamai Technologies",65,-0.44,-0.67%,64.87,65.02,64.28,1232200,01/28/19
AKAO,"Achaogen Inc",1.62,0.24,+17.39%,1.38,1.65,1.33,1668700,01/28/19
AKBA,"Akebia Therapeutics",5.52,-0.37,-6.28%,5.82,5.89,5.48,900300,01/28/19
AKCA,"Akcea Therapeutics Inc",27.79,-0.91,-3.17%,28.38,28.6,27.3,114100,01/28/19
AKR,"Acadia Realty Trust",27.7,0.52,+1.91%,27.06,27.83,26.93,558300,01/28/19
AKRX,"Akorn Inc",3.96,-0.23,-5.49%,4.15,4.23,3.93,2325200,01/28/19
AKS,"AK Steel Holding Corp",2.7,-0.1,-3.57%,2.8,2.81,2.52,15233700,01/28/19
AL,"Air Lease Corporation Class A C",37.13,0.01,+0.03%,36.5,37.3,36.32,1148000,01/28/19
ALB,"Albemarle Corp",77.09,0.51,+0.67%,76.23,77.54,76.02,1273500,01/28/19
ALBO,"Albireo Pharma Inc",22.22,-1.08,-4.64%,23.05,23.23,21.8,36600,01/28/19
ALCO,"Alico Inc",29.55,-0.27,-0.91%,29.53,29.94,29.53,3800,01/28/19
ALDR,"Alder Biopharma",12.49,-0.54,-4.14%,12.85,12.99,12.23,780200,01/28/19
ALDX,"Aldeyra Therapeu",8.35,-0.31,-3.58%,8.6,8.71,8.34,130400,01/28/19
ALE,"Allete Inc",74.38,-0.5,-0.67%,74.73,75.01,73.87,140800,01/28/19
ALEX,"Alexander and Baldwin Inc",22.68,0.13,+0.58%,22.37,22.85,22.37,175400,01/28/19
ALG,"Alamo Group",85.51,-0.9,-1.04%,85.29,86.18,84.19,30900,01/28/19
ALGN,"Align Technology I",221.49,-5.73,-2.52%,224.5,225.91,220.15,1421300,01/28/19
ALGT,"Allegiant Travel Com",124.05,2.27,+1.86%,121.05,125.19,120.26,217200,01/28/19
ALK,"Alaska Air Group",64.53,1.05,+1.65%,63.01,65.3,63.01,1627400,01/28/19
ALKS,"Alkermes Plc",32.55,-1.52,-4.46%,33.82,34.69,32.5,716200,01/28/19
ALL,"Allstate Corp",86.49,0.34,+0.39%,85.9,86.54,85.55,2195000,01/28/19
ALLE,"Allegion Plc Ordinary Shares Wh",84.28,0.09,+0.11%,83.41,84.59,83.03,402500,01/28/19
ALLK,"Allakos Inc",42.85,-1.96,-4.37%,45,45.56,42.47,340800,01/28/19
ALLO,"Allogene Therapeutics Inc",29.52,-0.02,-0.07%,29.45,30.61,28.89,272300,01/28/19
ALLY,"Ally Financial",25.84,0.07,+0.27%,25.55,25.85,25.39,4806300,01/28/19
ALNA,"Allena Pharmaceuticals Inc",7.6,-0.42,-5.24%,7.98,8.02,7.47,25600,01/28/19
ALNY,"Alnylam Pharmaceut",76.66,-6.39,-7.69%,81.86,82.46,75.14,1768900,01/28/19
ALRM,Alarm.com,62.88,0.24,+0.38%,62.23,63.15,61.26,448100,01/28/19
ALSN,"Allison Transmission Holdings",48.19,-0.2,-0.41%,47.9,48.67,47.32,1112500,01/28/19
ALTR,"Altair Engineering Inc Class A",30.84,-0.41,-1.31%,30.94,31.1,30.28,139000,01/28/19
ALX,"Alexander's Inc",323.87,3.99,+1.25%,319.88,324.99,319.88,3900,01/28/19
ALXN,"Alexion Pharm Inc",119.21,-2.23,-1.84%,119.87,120,117,2012000,01/28/19
AMAG,"Amag Pharmaceuticals",15.44,-1.01,-6.14%,16.3,16.48,15.41,658700,01/28/19
AMAL,"Amalgamated Bk",19.45,-0.42,-2.11%,19.87,20.08,19.31,24700,01/28/19
AMAT,"Applied Materials",38.7,-0.49,-1.25%,37.62,38.95,37.52,12459600,01/28/19
AMBA,"Ambarella Inc",38.02,-0.4,-1.04%,37.81,38.54,37.75,617700,01/28/19
AMBC,"Ambac Financial Grp",18.61,0.01,+0.05%,18.49,18.74,18.49,193300,01/28/19
AMBR,"Amber Road Inc",8.45,-0.34,-3.87%,8.79,8.8,8.4,65800,01/28/19
AMC,"Amc Entertainment Holdings Inc",14.01,0,0.00%,13.97,14.17,13.88,688900,01/28/19
AMCX,"Amc Networks Cl A",64.34,-0.42,-0.65%,64.31,65.4,63.05,443100,01/28/19
AMD,"Adv Micro Devices",20.18,-1.75,-7.98%,20.32,21.01,20.02,135164000,01/28/19
AME,"Amtek Inc",70.15,-1.17,-1.64%,70.17,70.7,69.51,2027500,01/28/19
AMED,"Amedisys Inc",126.61,-2.39,-1.85%,128.05,128.45,125.47,212600,01/28/19
AMEH,"Apollo Medical Holdings Inc",18.95,0.14,+0.74%,18.6,19.36,18.6,10400,01/28/19
AMG,"Affiliated Managers Group",109.87,0.25,+0.23%,108.56,110.42,107.02,493400,01/28/19
AMGN,"Amgen Inc",191.95,-6.82,-3.43%,194.97,194.97,190.01,4186400,01/28/19
AMH,"American Homes 4 Rent",21.77,0.28,+1.30%,21.45,21.8,21.43,2205600,01/28/19
AMKR,"Amkor Technology",7.83,0.08,+1.03%,7.57,7.84,7.5,696700,01/28/19
AMN,"Amn Healthcare Services Inc",63.97,0,0.00%,63.59,64.31,63.01,281700,01/28/19
AMNB,"American Natl Bksh",32.32,-0.27,-0.83%,32.4,32.72,32.07,23900,01/28/19
AMOT,"Allied Motion Tech",42.06,-1.34,-3.09%,42.73,43.3,41.3,27100,01/28/19
AMP,"Ameriprise Financial Services",121.79,0.67,+0.55%,120.4,121.87,119.78,1042000,01/28/19
AMPE,"Ampio Pharmaceutical",0.48,-0.01,-2.04%,0.5,0.51,0.48,402700,01/28/19
AMPH,"Amphastar Pharma",21.88,-0.52,-2.32%,22.29,22.29,21.78,106900,01/28/19
AMR,"Alta Mesa Resources Inc",1.04,-0.05,-4.59%,1.1,1.1,1.03,562400,01/28/19
AMRC,"Ameresco Inc",14.63,-0.08,-0.54%,14.7,14.85,14.6,45800,01/28/19
AMRS,"Amyris Inc",2.94,-0.25,-7.84%,3.17,3.21,2.87,988200,01/28/19
AMRX,"Amneal Pharmaceuticals Inc",12.29,0.35,+2.93%,11.95,12.52,11.94,766400,01/28/19
AMSF,"Amerisafe Inc",58.55,0.95,+1.65%,57.59,58.76,57.57,89200,01/28/19
AMSWA,"Amer Software Inc",10.87,-0.15,-1.36%,10.92,11.09,10.74,66400,01/28/19
AMT,"American Tower Corp",168.05,0.64,+0.38%,166.94,168.05,165.67,1180400,01/28/19
AMTD,"TD Ameritrade HD",56.22,-0.04,-0.07%,55.74,56.24,55.43,1659300,01/28/19
AMWD,"Amer Woodmark Cp",67.43,-0.07,-0.10%,66.52,68.64,66.46,210200,01/28/19
AMZN,"Amazon.com Inc",1637.89,-32.68,-1.96%,1643.59,1645,1614.09,4837700,01/28/19
AN,"Autonation Inc",37.5,0.3,+0.81%,37,37.56,36.78,460100,01/28/19
ANAB,"Anaptysbio Inc",63,-4.47,-6.63%,66.47,67.4,62.97,321000,01/28/19
ANAT,"Amer Natl Insurance",137.06,1.35,+0.99%,135.7,137.37,135.11,20800,01/28/19
ANCX,"Access National Corp",24.33,0.12,+0.50%,24.15,24.35,24.01,51500,01/28/19
ANDE,"Andersons Inc",34.55,-0.21,-0.60%,34.52,34.66,34.23,57500,01/28/19
ANET,"Arista Networks Inc",215.32,-11.94,-5.25%,223.5,223.51,211.34,1161500,01/28/19
ANF,"Abercrombie & Fitch Company",21.5,0.23,+1.08%,21.09,21.71,21,1771200,01/28/19
ANGO,"Angiodynamics Inc",20.91,-0.37,-1.74%,21.13,21.33,20.87,83600,01/28/19
ANH,"Anworth Mortgage Asset Corp",4.42,-0.09,-2.00%,4.4,4.43,4.35,475600,01/28/19
ANIK,"Anika Therapeutics",37.05,0.04,+0.11%,36.8,37.1,36.19,85100,01/28/19
ANIP,"ANI Pharma Inc",52.94,-0.57,-1.07%,53.04,53.85,52.6,29600,01/28/19
ANSS,"Ansys Inc",160.7,-0.95,-0.59%,160.25,161.26,158.87,219400,01/28/19
ANTM,"Anthem Inc",270.01,-2.67,-0.98%,270.91,271.54,268.54,1316600,01/28/19
AOBC,"American Outdoor Brands Corp",12.02,-0.07,-0.58%,12.05,12.18,11.91,489300,01/28/19
AON,"AON Plc",153.67,-0.72,-0.47%,153.46,153.94,152.17,835900,01/28/19
AOS,"Smith [A.O.] Corp",48.2,0.6,+1.26%,47.04,48.4,46.96,1937800,01/28/19
AOSL,"Alpha and Omega Semi",11.79,-0.6,-4.84%,12.4,12.42,11.73,94100,01/28/19
APA,"Apache Corp",32.29,0.23,+0.72%,31.42,32.37,31.33,4626600,01/28/19
APAM,"Artisan Partners Asset Manageme",22.96,0.03,+0.13%,22.78,23.1,22.73,305300,01/28/19
APC,"Anadarko Petroleum Corp",46.45,-0.44,-0.94%,46.01,46.5,45.6,4711900,01/28/19
APD,"Air Products and Chemicals",159.89,-1.02,-0.63%,160.67,161.09,158.73,1364400,01/28/19
APEI,"American Pub. Edu.",29.58,-1.09,-3.55%,30.39,30.46,29.34,59500,01/28/19
APH,"Amphenol Corp",85.75,-0.55,-0.64%,85.58,85.92,84.94,1207900,01/28/19
APLE,"Apple Hospitality REIT Inc",15.71,0.02,+0.13%,15.62,15.73,15.57,1416800,01/28/19
APLS,"Apellis Pharmaceuticals Inc",13.23,-0.42,-3.08%,13.43,13.89,13.02,145300,01/28/19
APOG,"Apogee Entrpr Inc",33.77,0.02,+0.06%,33.5,34.26,33.5,185200,01/28/19
APPF,"Appfolio Cl A",61.21,-2.16,-3.41%,63,63.16,61.1,70300,01/28/19
APTS,"Preferred Apartment Communities",15.93,-0.06,-0.38%,15.97,16.2,15.58,404400,01/28/19
APTV,"Aptiv Plc",73.03,0.03,+0.04%,72.42,73.19,71.82,1604600,01/28/19
APTX,"Aptinyx Inc",5.29,-0.09,-1.67%,5.33,5.57,5.25,197600,01/28/19
APY,"Apergy Corp",33.99,-0.12,-0.35%,33.17,34.18,33.17,371800,01/28/19
AQ,"Aquantia Corp",8.75,-0.53,-5.71%,9.07,9.2,8.63,199800,01/28/19
AQST,"Aquestive Therapeutics Inc",7.98,0.06,+0.76%,8.02,8.31,7.57,147900,01/28/19
AQUA,"Evoqua Water Technologies Corp",10.31,0.01,+0.10%,10.19,10.38,10.04,712100,01/28/19
AR,"Antero Resources Corp",10.26,-0.15,-1.44%,10.3,10.46,10.15,4231000,01/28/19
ARA,"American Renal Associates Holdi",12.12,-0.01,-0.08%,12.05,12.16,11.89,53300,01/28/19
ARAY,"Accuray Incorporated",4.25,-0.22,-4.92%,4.48,4.62,4.22,1151400,01/28/19
ARCB,"Arcbest Corp",39.39,0.46,+1.18%,38.62,39.53,38.02,326800,01/28/19
ARCH,"Arch Coal Inc",86.21,-0.76,-0.87%,86.42,86.86,85.03,115000,01/28/19
ARD,"Ardagh Group S.A.",11.62,-0.31,-2.60%,11.88,11.88,11.55,115300,01/28/19
ARDX,"Ardelyx Inc",1.99,-0.03,-1.49%,2.02,2.09,1.96,165400,01/28/19
ARE,"Alexandria Real Estate Equities",126.27,0.86,+0.69%,124.85,126.3,124.85,653700,01/28/19
AREX,"Approach Res. Inc",0.91,-0.06,-6.57%,0.97,0.97,0.89,304300,01/28/19
ARGO,"Argo Group Intl Hlds",63.99,0,0.00%,63.59,64.04,63.3,130000,01/28/19
ARI,"Apollo Commercial Real Estate",17.77,0.01,+0.06%,17.75,17.82,17.69,882400,01/28/19
ARL,"American Realty Investors",13.13,0.12,+0.92%,13.03,13.13,13.03,900,01/28/19
ARLO,"Arlo Technologies Inc",6.88,0.08,+1.18%,6.75,6.98,6.6,2297600,01/28/19
ARMK,"Aramark Holdings Corp",32,-0.51,-1.57%,32.15,32.32,31.88,4478100,01/28/19
ARNA,"Arena Pharmaceutical",43.86,-0.71,-1.59%,43.97,44.66,43.49,541200,01/28/19
ARNC,"Arconic Inc",18.26,-0.28,-1.51%,18.3,18.52,18.06,3779200,01/28/19
AROC,"Archrock Inc",9.15,-0.27,-2.87%,9.21,9.29,8.99,1255600,01/28/19
AROW,"Arrow Financial Corp",31.89,-0.81,-2.48%,32.37,32.54,31.89,12000,01/28/19
ARQL,"Arqule Inc",3.41,-0.18,-5.01%,3.5,3.53,3.37,672400,01/28/19
ARR,"Armour Residential R",21.12,-0.02,-0.09%,21.16,21.2,21.03,494300,01/28/19
ARRS,"Arris Group Inc",31.28,0.18,+0.58%,31.05,31.3,31,2990600,01/28/19
ARRY,"Array Biopharma Inc",17.87,-0.03,-0.17%,17.5,17.95,17.43,2172400,01/28/19
ARTNA,"Artesian Res Cp A",34.66,-0.37,-1.06%,34.99,35,34.59,16800,01/28/19
ARW,"Arrow Electronics",75.02,-0.55,-0.73%,74.51,75.81,74.32,458200,01/28/19
ARWR,"Arrowhead Pharma",13.18,-0.54,-3.94%,13.54,13.75,13.02,1166700,01/28/19
ASB,"Associated Banc-Corp",22.4,0.37,+1.68%,22.03,22.43,21.82,2091700,01/28/19
ASC,"Ardmore Shipping Corp",5.62,-0.06,-1.06%,5.62,5.86,5.52,152000,01/28/19
ASGN,"On Assignment",61.76,-0.4,-0.64%,61.49,61.94,60.55,207800,01/28/19
ASH,"Ashland Global Holdings Inc",76,0.08,+0.11%,75.2,76.4,74.94,1201900,01/28/19
ASIX,"Advansix Inc",30.2,0.27,+0.90%,29.92,30.73,29.73,183400,01/28/19
ASMB,"Assembly Biosciences",21.06,-0.09,-0.43%,20.85,21.28,20.35,81000,01/28/19
ASNA,"Ascena Retail Grp",2.6,0.01,+0.39%,2.56,2.64,2.49,2237600,01/28/19
ASNS,"Arsanis Inc",2.83,-0.19,-6.29%,2.96,2.98,2.61,71600,01/28/19
ASPS,"Altisource Portfolio",23.53,0.32,+1.38%,23.16,23.86,23.02,38400,01/28/19
ASRT,"Assertio Therapeutics Inc",4.2,0.02,+0.48%,4.18,4.23,4.13,384000,01/28/19
ASTE,"Astec Inds Inc",36.96,-0.53,-1.41%,36.71,37.5,36.5,223400,01/28/19
ASUR,"Asure Software",5.53,-0.1,-1.78%,5.62,5.63,5.47,177300,01/28/19
AT,"Atlantic Power Corp",2.49,-0.07,-2.73%,2.55,2.55,2.48,204300,01/28/19
ATEN,"A10 Networks Inc",6.52,-0.09,-1.36%,6.56,6.63,6.5,285000,01/28/19
ATGE,"Adtalem Global Education Inc",49.22,-0.44,-0.89%,49.16,49.45,48.62,282000,01/28/19
ATH,"Athene Holding Ltd",42.94,0.07,+0.16%,42.52,42.95,42.41,747100,01/28/19
ATHN,"Athenahealth Inc",134.45,0.17,+0.13%,134.25,134.49,134.25,267200,01/28/19
ATHX,"Athersys Inc",1.68,-0.03,-1.75%,1.71,1.75,1.65,564700,01/28/19
ATI,"Allegheny Technologies Inc",26.54,-0.09,-0.34%,26.12,26.66,26.09,1231800,01/28/19
ATKR,"Atkore International Group",21.71,-0.39,-1.76%,21.75,22,21.59,218400,01/28/19
ATLO,"Ames Natl Corp",25.11,-0.14,-0.55%,25.16,25.23,25.01,5800,01/28/19
ATNI,"Atn International",74.67,-0.16,-0.21%,74.55,75.42,73.9,36800,01/28/19
ATNX,"Athenex Inc",11.43,-0.58,-4.83%,12,12,11.41,206900,01/28/19
ATO,"Atmos Energy Corp",94.33,-0.5,-0.53%,94.94,95.02,93.97,386700,01/28/19
ATR,Aptargroup,97.88,0.49,+0.50%,97.39,98.51,97.28,217900,01/28/19
