Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CZR,"Caesars Entertainment Corp",8.75,-0.12,-1.35%,8.72,8.86,8.65,17963301,01/28/19
D,"Dominion Resources",68.37,-0.79,-1.14%,68.98,69.23,68.28,7980500,01/28/19
DAKT,"Daktronics Inc",7.5,-0.15,-1.96%,7.6,7.64,7.45,134200,01/28/19
DAL,"Delta Air Lines Inc",48.01,0.32,+0.67%,47.43,48.44,47.33,8212100,01/28/19
DAN,"Dana Inc",17.43,-0.35,-1.97%,17.5,17.69,17.28,2326100,01/28/19
DAR,"Darling International Inc",20.98,-0.02,-0.10%,20.85,21.09,20.79,495600,01/28/19
DATA,"Tableau Software Inc Class A",125.96,-3,-2.33%,127.25,128.12,125.55,972400,01/28/19
DBD,"Diebold Nixdorf Inc",4.17,-0.09,-2.11%,4.26,4.29,4.12,741200,01/28/19
DCI,"Donaldson Company",46.72,-0.96,-2.01%,47,47.13,46.26,379100,01/28/19
DCO,"Ducommun Inc",39.4,0.09,+0.23%,39.03,39.62,38.79,32700,01/28/19
DCOM,"Dime Community Bncsh",19.52,-0.24,-1.21%,19.7,19.7,19.1,144100,01/28/19
DCPH,"Deciphera Pharmaceuticals Inc",25.31,-2.02,-7.39%,26.88,26.88,25.19,163500,01/28/19
DDD,"3D Systems Corp",11.54,0.03,+0.26%,11.42,11.62,11.2,1877100,01/28/19
DDS,Dillard's,66.92,-0.32,-0.48%,66.69,67.3,66.05,187800,01/28/19
DE,"Deere & Company",156.49,-5.01,-3.10%,157.09,158.42,155.2,2199300,01/28/19
DEA,"Easterly Government Properties",17.82,0.33,+1.89%,17.43,17.97,17.36,989800,01/28/19
DECK,"Deckers Outdoor Corp",125.99,0.63,+0.50%,123.72,127.45,123.72,542500,01/28/19
DEI,"Douglas Emmett",37.05,0.28,+0.76%,36.62,37.12,36.59,633700,01/28/19
DELL,"Dell Technologies Inc.",46.9,0.99,+2.16%,45.9,47.38,45.62,5951100,01/28/19
DENN,"Dennys Corp",17.75,-0.02,-0.11%,17.77,17.86,17.44,285600,01/28/19
DERM,"Dermira Inc Cm ST",6.47,0.25,+4.02%,6.24,6.75,6.05,1121600,01/28/19
DF,"Dean Foods Company",4.32,-0.19,-4.21%,4.51,4.51,4.31,1681300,01/28/19
DFIN,"Donnelly Financial Solutions Inc",14.45,-0.17,-1.16%,14.45,14.68,14.24,102400,01/28/19
DFRG,"Del Frisco's Restrnt",7.82,-0.08,-1.01%,7.85,7.97,7.81,386800,01/28/19
DFS,"Discover Financial Services",67.36,0.63,+0.94%,66.24,67.36,65.81,2209100,01/28/19
DG,"Dollar General Corp",114.12,-0.08,-0.07%,113.1,114.15,113.05,1268600,01/28/19
DGICA,"Donegal Group Cl A",13.23,-0.1,-0.75%,13.29,13.5,13.12,25300,01/28/19
DGII,"Digi Intl Inc",11.36,-0.04,-0.35%,11.31,11.5,11.11,231600,01/28/19
DGX,"Quest Diagnostics Inc",85.49,0.08,+0.09%,85.03,86.13,84.5,918900,01/28/19
DHI,"D.R. Horton",36.39,-0.91,-2.44%,36.53,37.46,36.17,10156899,01/28/19
DHIL,"Diamond Hill Inv",156.01,-1.26,-0.80%,156.94,157.25,156.01,4100,01/28/19
DHR,"Danaher Corp",106.03,-0.3,-0.28%,105.54,106.04,104.96,2100400,01/28/19
DHT,"Dht Holdings",4.03,-0.1,-2.42%,4.1,4.1,4,715300,01/28/19
DIN,"Dineequity Inc",78.37,-0.87,-1.10%,78.83,79.68,78.1,345300,01/28/19
DIOD,"Diodes Inc",32.54,-0.77,-2.31%,32.29,33.02,32,139800,01/28/19
DIS,"Walt Disney Company",110.81,-0.28,-0.25%,110.76,110.99,109.95,6178700,01/28/19
DISCA,"Discovery Comm A",27.79,0.11,+0.40%,27.4,27.84,27.23,2422200,01/28/19
DISCK,"Discovery Comm Inc",25.91,0.14,+0.54%,25.7,25.92,25.38,1427800,01/28/19
DISH,"Dish Network Corp",30.3,0.22,+0.73%,29.6,30.43,29.48,2755700,01/28/19
DJCO,"Daily Journal Cp",216.12,2.12,+0.99%,216.12,216.12,216.12,300,01/28/19
DK,"Delek US Holdings",30.25,-1.09,-3.48%,30.96,31.03,30.03,1391200,01/28/19
DKS,"Dick's Sporting Goods Inc",34.84,0.22,+0.64%,34.34,34.88,34.17,1386600,01/28/19
DLB,"Dolby Laboratories",63.27,-0.67,-1.05%,63.27,63.62,63.12,288300,01/28/19
DLR,"Digital Realty Trust",105.7,1.53,+1.47%,103.88,106.1,103.03,1454200,01/28/19
DLTH,"Duluth Hldg Cl B",23.03,0.41,+1.81%,22.37,23.04,22.06,160100,01/28/19
DLTR,"Dollar Tree Inc",95.62,-1.3,-1.34%,96.15,96.98,94.87,1468900,01/28/19
DLX,"Deluxe Corp",47.36,0.12,+0.25%,46.59,47.68,46.28,597700,01/28/19
DMRC,"Digimarc Corp",19.01,-0.64,-3.26%,19.43,19.64,18.83,83000,01/28/19
DNB,"Dun & Bradstreet Corp",144.53,-0.16,-0.11%,144.65,144.7,144.53,1374900,01/28/19
DNKN,"Dunkin' Brands Group",68.84,-0.5,-0.72%,69.29,69.42,67.89,745300,01/28/19
DNLI,"Denali Therapeutics Inc",21.37,-0.48,-2.20%,21.69,21.94,21.21,171200,01/28/19
DNOW,"Now Inc",13.48,-0.04,-0.30%,13.26,13.49,13.12,680100,01/28/19
DNR,"Denbury Resources",1.97,-0.1,-4.83%,2,2.01,1.93,8107600,01/28/19
DO,"Diamond Offshore Drilling",10.97,-0.66,-5.67%,11.47,11.47,10.83,2271600,01/28/19
DOC,"Physicians Realty Trust",17.45,0.2,+1.16%,17.17,17.5,17.17,962400,01/28/19
DOCU,"Docusign Inc",48.82,0.25,+0.51%,47.94,48.88,47.55,1977000,01/28/19
DOMO,"Domo Inc. Class B",26.05,-0.28,-1.06%,26.01,26.4,25.37,194200,01/28/19
DOOR,"Masonite Wrldwde Hld",54.6,0.57,+1.05%,53.62,54.85,53.61,123000,01/28/19
DORM,"Dorman Products Inc",87.55,-1.16,-1.31%,87.69,89.04,84.85,276200,01/28/19
DOV,"Dover Corp",79.24,-0.24,-0.30%,78.56,79.24,77.95,1515300,01/28/19
DOVA,"Dova Pharmaceuticals Inc",7.81,-0.17,-2.13%,7.87,7.96,7.33,110000,01/28/19
DOX,"Amdocs Ltd Ord",55.36,-0.08,-0.14%,54.9,55.78,54.69,1926600,01/28/19
DPLO,"Diplomat Pharmacy Inc",13.69,-0.14,-1.01%,13.45,13.85,13.34,434000,01/28/19
DPZ,"Domino's Pizza Inc",279.79,-4.37,-1.54%,281.74,282.57,275.23,748900,01/28/19
DRE,"Duke Realty Corp",29.24,0.28,+0.97%,28.85,29.34,28.8,2243700,01/28/19
DRH,"Diamondrock Hospitality Company",9.97,0.09,+0.91%,9.8,9.99,9.8,3202200,01/28/19
DRI,"Darden Restaurants",107.37,0.94,+0.88%,106.06,107.84,105.77,674300,01/28/19
DRNA,"Dicerna Pharmaceutic",9.74,-0.41,-4.04%,9.86,10.07,9.56,791300,01/28/19
DRQ,Dril-Quip,36.28,-1.38,-3.66%,37,37.06,35.85,602500,01/28/19
DRRX,"Durect Corp",0.57,-0.04,-6.23%,0.6,0.62,0.56,455100,01/28/19
DS,"Drive Shack Inc",4.39,-0.14,-3.09%,4.44,4.49,4.3,180300,01/28/19
DSKE,"Daseke Inc",4.15,-0.27,-6.11%,4.37,4.37,4.09,211500,01/28/19
DSW,"DSW Inc",26.78,0,0.00%,26.52,26.92,26.38,612100,01/28/19
DTE,"Dte Energy Company",114.1,-0.03,-0.03%,114.22,114.69,113.31,838300,01/28/19
DUK,"Duke Energy Corp",85.65,-0.2,-0.23%,86.02,86.29,85.13,2079000,01/28/19
DVA,"Davita Healthcare Partners Inc",56.07,-1.02,-1.79%,56.68,56.86,55.75,1300500,01/28/19
DVAX,"Dynavax Technologies",10.75,-0.31,-2.80%,10.97,10.97,10.61,639400,01/28/19
DVN,"Devon Energy Corp",26.5,-0.75,-2.75%,26.84,26.89,26.28,5541200,01/28/19
DWDP,"Dowdupont Inc",58.13,0.37,+0.64%,57.09,58.25,56.94,16632801,01/28/19
DWSN,"Dawson Geophscl",3.8,0.02,+0.53%,3.78,3.92,3.78,60300,01/28/19
DX,"Dynex Capital",6.15,-0.06,-0.97%,6.19,6.2,6.14,796800,01/28/19
DXC,"Dxc Technology Company",62.92,-0.42,-0.66%,62.36,62.94,62.25,1354100,01/28/19
DXCM,Dexcom,141.36,-3.65,-2.52%,144.29,144.99,140.11,800700,01/28/19
DXPE,"Dxp Enterprise",31.28,-0.98,-3.04%,31.96,32.14,31.15,40600,01/28/19
DY,"Dycom Industries",60.04,0.86,+1.45%,58.2,60.11,58.03,447300,01/28/19
DZSI,"Dasan Zhone Solutions Inc",12.75,-0.29,-2.22%,12.89,13.17,12.75,12700,01/28/19
EA,"Electronic Arts Inc",90.47,-1.27,-1.38%,89.45,90.65,88.65,4339500,01/28/19
EAF,"Graftech International Ltd",12.16,-0.65,-5.07%,12.62,12.76,12.13,1099300,01/28/19
EAT,"Brinker International",47.44,0.89,+1.91%,46.22,48.49,45.99,2137400,01/28/19
EBAY,"Ebay Inc",34.02,0.3,+0.89%,33.49,34.23,33.4,22325398,01/28/19
EBF,"Ennis Inc",20.06,0,0.00%,20.06,20.21,19.91,123100,01/28/19
EBIX,"Ebix Inc",54.46,0.96,+1.79%,53.11,54.6,52.68,212700,01/28/19
EBS,"Emergent Biosolutions",59.57,-0.45,-0.75%,59.28,59.97,59.02,292200,01/28/19
EBSB,"Meridian Bncp",15.77,0.07,+0.45%,15.62,15.83,15.57,208200,01/28/19
EBTC,"Enterprise Bancorp I",30.9,-1.06,-3.32%,31.39,31.75,30.6,15000,01/28/19
ECHO,"Echo Global Logistic",23.51,-0.04,-0.17%,23.32,23.6,23.27,126600,01/28/19
ECL,"Ecolab Inc",154.98,1.09,+0.71%,153.15,154.99,153.11,708500,01/28/19
ECOL,"US Ecology Inc",61.67,-1.72,-2.71%,63.1,63.1,61.5,61300,01/28/19
ECOM,"Channeladvisor Corp",10.57,-0.39,-3.56%,10.88,10.89,10.31,86900,01/28/19
ECOR,"Electrocore Inc",6.05,0.06,+1.00%,5.93,6.19,5.82,71500,01/28/19
ECPG,"Encore Capital Grp",29.4,0.65,+2.26%,28.48,29.45,28.48,251600,01/28/19
ECR,"Eclipse Resources Corp",1.12,-0.02,-1.75%,1.1,1.17,1.1,486800,01/28/19
ED,"Consolidated Edison Company of New York",75.59,-0.36,-0.47%,76.11,76.58,75.25,2168400,01/28/19
EDIT,"Editas Medicine",20.66,-0.8,-3.73%,21.11,21.22,20.25,946000,01/28/19
EE,"El Paso Electric Company",50.88,-0.45,-0.88%,51.36,51.57,50.6,234500,01/28/19
EEFT,"Euronet Worldwide",114.79,-0.62,-0.54%,114.59,115.56,113.42,259400,01/28/19
EEX,"Emerald Expositions Events Inc",13.97,-0.26,-1.83%,14.14,14.32,13.88,108800,01/28/19
EFII,"Elec Imaging Inc",24.77,-0.2,-0.80%,24.65,25,24.39,835100,01/28/19
EFSC,"Enterprises Finl Svc",45.9,-0.61,-1.31%,46.14,47,45.3,110700,01/28/19
EFX,"Equifax Inc",105.21,-0.42,-0.40%,104.77,105.9,104.21,1407700,01/28/19
EGAN,"Egain Corp",7.11,0.06,+0.85%,6.93,7.31,6.93,83500,01/28/19
EGBN,"Eagle Bancorp Inc",55.1,0.72,+1.32%,54.2,55.2,54.2,385000,01/28/19
EGHT,"8X8 Inc",19.43,-0.65,-3.24%,19.77,19.8,19.3,838000,01/28/19
EGLE,"Eagle Bulk Ship New",4.16,-0.27,-6.09%,4.45,4.5,4.1,430100,01/28/19
EGOV,"Nic Inc",14.13,-0.02,-0.14%,14.02,14.23,13.92,292300,01/28/19
EGP,"Eastgroup Properties",100.59,0.91,+0.91%,99.25,100.9,98.77,110700,01/28/19
EGRX,"Eagle Pharmaceutical",40.33,-2.52,-5.88%,42.41,42.56,39.81,284500,01/28/19
EHC,"Encompass Health Corp",66.95,-0.48,-0.71%,67.27,67.35,66.37,434900,01/28/19
EHTH,"Ehealth Inc",55.44,0.14,+0.25%,55,56.54,54.78,430200,01/28/19
EIDX,"Eidos Therapeutics Inc",11.96,-0.02,-0.17%,11.83,12.21,11.71,19900,01/28/19
EIG,"Employers Holdings Inc",41.7,-0.31,-0.74%,41.86,42.07,41.27,108600,01/28/19
EIGI,"Endurance Int Grp",7.88,-0.1,-1.25%,7.9,8.04,7.8,295400,01/28/19
EIX,"Edison International",54.51,-0.92,-1.66%,55.42,55.7,54.25,2725300,01/28/19
EL,"Estee Lauder Companies",131.98,3.91,+3.05%,127.52,132.14,126.75,3275200,01/28/19
ELAN,"Elanco Animal Health Inc",30.5,-0.1,-0.33%,30.65,30.72,30.26,1267600,01/28/19
ELF,"E.L.F. Beauty Inc",8.53,0.09,+1.07%,8.31,8.6,8.22,195500,01/28/19
ELGX,"Endologix Inc",0.8,0.05,+6.67%,0.78,0.82,0.75,672700,01/28/19
ELLI,"Ellie Mae Inc",72.74,-0.49,-0.67%,72.45,73.55,72.21,618300,01/28/19
ELOX,"Eloxx Pharmaceuticals Inc",10.6,-0.5,-4.50%,10.98,11.23,10.53,21700,01/28/19
ELS,"Equity Lifestyle Properties",103.05,0.98,+0.96%,101.6,103.21,101.6,358400,01/28/19
ELVT,"Elevate Credit Inc",4.59,-0.05,-1.08%,4.6,4.68,4.54,76400,01/28/19
ELY,"Callaway Golf Company",16.39,-0.18,-1.09%,16.47,16.51,16.16,624800,01/28/19
EMCI,"E M C Insurance Gp",32.04,0.46,+1.46%,31.6,32.25,31.6,33500,01/28/19
EME,"Emcor Group",63.9,-0.51,-0.79%,63.78,64.25,62.87,382700,01/28/19
EML,"Eastern CO",27.26,-0.43,-1.55%,27.65,27.65,27.26,2000,01/28/19
EMN,"Eastman Chemical Company",80.97,0.11,+0.14%,80.22,81.12,79.95,980900,01/28/19
EMR,"Emerson Electric Company",62.41,-1.53,-2.39%,63.16,63.22,62.02,4324400,01/28/19
ENDP,"Endo Int'l Plc",9.56,-0.31,-3.14%,9.74,9.86,9.48,2037500,01/28/19
ENFC,"Entegra Financ Cm ST",23.43,0.2,+0.86%,23.23,23.51,23.22,36300,01/28/19
ENPH,"Enphase Energy Inc",6.9,0.18,+2.68%,6.64,7.09,6.64,1563400,01/28/19
ENR,"Energizer Holdings Inc",45.55,-0.63,-1.36%,45.87,45.95,45.29,675400,01/28/19
ENS,"Enersys Inc",84.13,0.02,+0.02%,82.96,84.49,82.91,172400,01/28/19
ENSG,"The Ensign Group IN",42.31,-0.23,-0.54%,42.25,42.73,41.54,185900,01/28/19
ENTA,"Enanta Pharmaceutica",78.21,-4.03,-4.90%,82,82,76.53,571400,01/28/19
ENTG,"Entegris Inc",33.16,1.84,+5.87%,30.74,34.28,30.37,8146400,01/28/19
ENV,"Envestnet Inc",53.47,-0.52,-0.96%,53.51,54.07,53,171900,01/28/19
ENVA,"Enova International Inc",22.67,-0.29,-1.26%,22.68,22.72,22.25,193800,01/28/19
ENZ,"Enzo Biochem",3.71,0.01,+0.27%,3.66,3.77,3.6,102000,01/28/19
EOG,"Eog Resources",98.1,-1,-1.01%,97.43,98.25,96.49,2953000,01/28/19
EOLS,"Evolus Inc",14.99,0.08,+0.54%,14.98,15.56,14.58,403300,01/28/19
EPAM,"Epam Systems Inc",139.34,-1.46,-1.04%,139.25,139.88,137.69,320500,01/28/19
EPAY,"Bottomline Tech IN",49.47,-1.51,-2.96%,50.41,50.41,49.05,211300,01/28/19
EPC,"Edgewell Personal Care",39.46,0.21,+0.54%,39.11,39.59,38.62,610000,01/28/19
EPE,"Ep Energy Corp",0.71,0.01,+1.43%,0.69,0.72,0.66,606300,01/28/19
EPM,"Evolution Petroleum Corp",7.41,0,0.00%,7.3,7.45,7.27,141900,01/28/19
EPR,"Entertainment Properties Trust",71.95,0.67,+0.94%,71.16,72,71.08,284400,01/28/19
EPRT,"Essential Properties Realty Trust Inc",15.55,0.28,+1.83%,15.25,15.7,15.17,179800,01/28/19
EPZM,"Epizyme Inc",9.04,-0.62,-6.42%,9.55,9.55,8.98,633900,01/28/19
EQBK,"Equity Bncsrs Cm A",32.87,0.87,+2.72%,32,32.88,31.74,117000,01/28/19
EQC,"Equity Commonwealth",31.5,0.07,+0.22%,31.36,31.62,31.27,570100,01/28/19
EQH,"Axa Equitable Holdings Inc",18.4,-0.25,-1.34%,18.48,18.73,18.31,2069400,01/28/19
EQIX,"Equinix Inc",377.11,7.67,+2.08%,367.95,377.97,363.9,466500,01/28/19
EQR,"Equity Residential",71.72,1.05,+1.49%,70.38,71.73,70.38,1647100,01/28/19
EQT,"Eqt Corp",19.35,-0.62,-3.10%,19.88,19.88,19,3664100,01/28/19
ERA,"Era Group Inc",9.75,-0.51,-4.97%,10,10.14,9.63,27300,01/28/19
ERI,"Eldorado Resorts",44.56,0.17,+0.38%,43.9,45,43.37,845900,01/28/19
ERIE,"Erie Indemnity CO",143.15,0.03,+0.02%,142.2,144.76,141.78,25800,01/28/19
ERII,"Energy Recovery Inc",7.43,-0.14,-1.85%,7.48,7.49,7.31,204200,01/28/19
EROS,"Eros International Plc",9.43,-0.18,-1.87%,9.57,9.64,9.22,528000,01/28/19
ES,"Eversource Energy",67.11,-0.17,-0.25%,67.42,67.66,66.68,1549000,01/28/19
ESCA,"Escalade Inc",11.62,0.06,+0.52%,11.65,11.86,11.54,4400,01/28/19
ESE,"Esco Technologies Inc",64.09,-0.72,-1.11%,64.4,65.35,63.65,51500,01/28/19
ESGR,"Enstar Group Ltd",177.2,-0.22,-0.12%,176.54,177.61,175,16700,01/28/19
ESIO,"Electro Sci Inds",30,0.01,+0.03%,29.98,30,29.98,369000,01/28/19
ESL,"Esterline Technologies Corp",121.49,0.09,+0.07%,121.26,121.5,121.26,180300,01/28/19
ESND,"Essendant Inc",12.5,0.02,+0.16%,12.5,12.55,12.45,117100,01/28/19
ESNT,"Essent Group Ltd",38.47,0.09,+0.23%,38.02,38.61,38.02,289500,01/28/19
ESPR,"Esperion Theraptc",43.19,-1.51,-3.38%,44.18,44.88,43.09,516600,01/28/19
ESQ,"Esquire Financial Holdings Inc",21.66,-0.3,-1.37%,21.8,21.8,21.28,3500,01/28/19
ESRT,"Empire State Realty Trust Inc",14.98,0.06,+0.40%,14.85,15.05,14.8,2311500,01/28/19
ESS,"Essex Property Trust",266.48,3.66,+1.39%,261.9,267.17,261.54,384100,01/28/19
ESSA,"Essa Bancorp Inc",15.21,-0.13,-0.85%,15.41,15.41,15.21,3400,01/28/19
ESTC,"Elastic N.V. Ordinary Shares",80.98,2.26,+2.87%,77.87,81.87,77.18,312700,01/28/19
ESTE,"Earthstone Energy",6.4,0,0.00%,6.27,6.46,6.23,246300,01/28/19
ESXB,"Community Bankers",7.57,0.18,+2.44%,7.51,7.65,7.47,19400,01/28/19
ETFC,"E*Trade Finl Corp",47.51,-0.26,-0.54%,47.39,47.75,47.2,4186100,01/28/19
ETH,"Ethan Allen Interiors Inc",18.75,-0.01,-0.05%,18.71,18.96,18.5,432200,01/28/19
ETM,"Entercom Communications Corp",7.25,0.02,+0.28%,7.16,7.27,7.12,1088500,01/28/19
ETN,"Eaton Corp",69.11,-1.96,-2.76%,69.8,69.84,67.97,4635700,01/28/19
ETR,"Entergy Corp",86.51,-0.59,-0.68%,87.05,87.44,85.97,912000,01/28/19
ETRN,"Equitrans Midstream Corp.",20.61,-0.33,-1.58%,20.6,20.93,20.4,1668500,01/28/19
ETSY,"Etsy Inc",54.92,-0.08,-0.15%,54.3,54.96,53.26,1255300,01/28/19
EV,"Eaton Vance Corp",39.8,0.01,+0.03%,39.55,39.94,39.29,1005500,01/28/19
EVBG,"Everbridge Inc",59.78,-1.35,-2.21%,60.17,60.63,59.16,332300,01/28/19
EVBN,"Evans Bancorp",34.6,-0.12,-0.35%,34.7,34.7,34.25,5200,01/28/19
EVC,"Entravision Communications Corp",3.84,-0.13,-3.27%,3.94,4.01,3.81,313100,01/28/19
EVH,"Evolent Health Inc Class A Com",17.2,-0.3,-1.71%,17.31,17.48,16.9,1222200,01/28/19
EVI,"Envirostar Inc",33.02,0.7,+2.17%,32.22,37.95,32,42100,01/28/19
EVLO,"Evelo Biosciences Inc",8.83,0.21,+2.44%,8.74,9.24,8.64,51400,01/28/19
EVOP,"Evo Payments Inc. Class A",24.77,-0.23,-0.92%,24.73,24.88,24.45,140100,01/28/19
EVR,"Evercore Partners Inc",85.1,0.45,+0.53%,83.79,85.62,83.73,421000,01/28/19
EVRG,"Evergy Inc",56.71,-0.07,-0.12%,56.9,57.15,56.48,1295600,01/28/19
EVRI,"Everi Holdings Inc",6.86,-0.11,-1.58%,6.86,6.94,6.75,569500,01/28/19
EVTC,"Evertec Inc",27.72,-0.78,-2.74%,28.15,28.37,27.55,386300,01/28/19
EW,"Edwards Lifesciences Corp",168.34,-2.3,-1.35%,168.61,170.06,167.43,1074100,01/28/19
EWBC,"East West Bancorp",52.55,0.19,+0.36%,52.09,52.99,51.81,818700,01/28/19
EXAS,"Exact Sciences Cor",83.81,1.83,+2.23%,80.82,83.95,80.5,1783700,01/28/19
EXC,"Exelon Corp",46.15,-0.28,-0.60%,46.47,46.57,45.81,3555600,01/28/19
EXEL,"Exelixis Inc",23.07,-0.2,-0.86%,23.05,23.44,22.6,3807400,01/28/19
EXLS,"Exlservice Holdings",56.36,-0.6,-1.05%,56.57,56.8,55.73,88500,01/28/19
EXP,"Eagle Materials Inc",68.79,1.55,+2.31%,66.48,69.24,66.28,787500,01/28/19
EXPD,"Expeditors Intl",68.32,-1.01,-1.46%,68.63,68.87,68.15,756500,01/28/19
EXPE,"Expedia Group Inc",117.04,-0.07,-0.06%,115.8,118.16,115.37,939500,01/28/19
EXPO,"Exponent Inc",49.38,-1.03,-2.04%,50.1,50.27,49.32,117900,01/28/19
EXPR,"Express Inc",5.6,0.23,+4.28%,5.33,5.64,5.28,2706000,01/28/19
EXR,"Extra Space Storage Inc",94.77,1.62,+1.74%,93.18,94.93,92.66,898300,01/28/19
EXTN,"Exterran Corp",17.06,-0.59,-3.34%,17.4,17.4,16.78,89600,01/28/19
EXTR,"Extreme Networks",6.79,0.02,+0.30%,6.7,6.89,6.57,1738400,01/28/19
EYE,"National Vision Holdings Inc",31.74,-1.11,-3.38%,32.32,32.93,31.49,490000,01/28/19
EZPW,"Ezcorp Inc",9.06,-0.33,-3.51%,9.32,9.34,9,570400,01/28/19
F,"Ford Motor Company",8.66,-0.2,-2.26%,8.8,8.8,8.58,42116301,01/28/19
FAF,"First American Corp",48.91,-0.07,-0.14%,48.76,49.38,48.59,545700,01/28/19
FANG,"Diamondback Energy",100.3,-1.91,-1.87%,100.79,101.28,99.24,1631800,01/28/19
FARM,"Farmer Brothers",24.57,-0.18,-0.73%,24.61,24.91,24.44,16900,01/28/19
FARO,"Faro Tech Inc",40.37,-1.06,-2.56%,41.09,41.16,39.88,50400,01/28/19
FAST,"Fastenal CO",59.39,-0.14,-0.24%,58.8,59.7,58.39,3804700,01/28/19
FATE,"Fate Therapeutics",13.8,-0.69,-4.76%,14.36,14.57,13.51,621800,01/28/19
FB,"Facebook Inc",147.47,-1.54,-1.03%,148.05,148.96,146.21,15508400,01/28/19
FBC,"Flagstar Bancorp",30.24,0.16,+0.53%,29.82,30.51,29.82,221000,01/28/19
FBHS,"Fortune Brands Home & Security",42.44,0.49,+1.17%,41.55,42.55,41.43,1281400,01/28/19
FBIO,"Fortress Biotech Inc",1.38,0.32,+30.19%,1.04,1.59,1.03,1017600,01/28/19
FBIZ,"First Business Finan",20.75,-0.21,-1.00%,20.64,20.75,20.55,14800,01/28/19
FBK,"Fb Financial Corp",33.48,-0.55,-1.62%,33.67,34.07,33.14,108700,01/28/19
FBM,"Foundation Building Materials Inc",9.45,-0.04,-0.42%,9.37,9.64,9.37,29900,01/28/19
FBMS,"First Bancshs [Ms]",31.4,-0.17,-0.54%,31.36,31.49,31.2,16500,01/28/19
FBNC,"First Bancorp [Nc]",37.51,-0.52,-1.37%,37.9,38.31,37.27,149900,01/28/19
FBP,"First Bancorp",9.95,0.21,+2.16%,9.7,9.97,9.68,1236200,01/28/19
FC,"Franklin Covey Company",24.26,-0.28,-1.14%,24.07,24.68,23.84,64800,01/28/19
FCBC,"First Community Bksh",34.25,-0.83,-2.37%,34.84,35,34.11,29700,01/28/19
FCBP,"First Choice Bancorp",21.41,-0.14,-0.65%,21.65,21.72,21.25,14100,01/28/19
FCCO,"First Community Corp",19.97,-0.73,-3.53%,20.61,20.71,19.55,6600,01/28/19
FCCY,"1st Constitution Bcp",19.4,-0.18,-0.92%,19.37,19.54,19.31,8100,01/28/19
FCEL,"Fuelcell Energy Inc",0.54,0,+0.56%,0.55,0.56,0.53,760700,01/28/19
FCF,"First Commonwealth Financial Corp",13.42,0.08,+0.60%,13.27,13.42,13.19,374200,01/28/19
FCFS,"First Cash Fin Svcs",84.33,-0.44,-0.52%,84.1,85.72,81.75,175300,01/28/19
FCN,"Fti Consulting",66.23,-1.71,-2.52%,67.55,68.18,65.94,169700,01/28/19
FCNCA,"First Citizens Bancs",414.38,-1.27,-0.31%,412.56,416.48,412.56,22700,01/28/19
FCPT,"Four Corners Property Trust IN",27.41,0.32,+1.18%,26.98,27.42,26.96,371600,01/28/19
FCX,"Freeport-Mcmoran Inc",10.28,-0.96,-8.54%,11.02,11.05,10.2,54798398,01/28/19
FDBC,"Fidelity D & D Bancorp Inc",59.54,-1.45,-2.38%,59.54,59.54,59.54,1000,01/28/19
FDC,"First Data Corp",25.29,0.18,+0.72%,24.85,25.35,24.76,17270600,01/28/19
"Downloaded from Barchart.com as of 01-28-2019 09:38pm CST"
